,Mail_Type,Mail_Message,transformed_text
2828,ham,don t worry    is easy once have ingredients ,worri easi ingredi
2829,ham,i love u 2 my little pocy bell i am sorry but i love u,love u 2 littl poci bell sorri love u
2830,ham,ok omw now  you at castor ,ok omw castor
2831,ham,yar lor    keep raining non stop    or u wan 2 go elsewhere ,yar lor keep rain non stop u wan 2 go elsewher
2832,spam,xmas offer  latest motorola  sonyericsson   nokia   free bluetooth or dvd  double mins   1000 txt on orange  call mobileupd8 on 08000839402 or call2optout 4qf2,xma offer latest motorola sonyericsson nokia free bluetooth dvd doubl min 1000 txt orang call mobileupd8 08000839402 call2optout 4qf2
2833,ham,what u mean u almost done  done wif sleeping  but i tot u going to take a nap   yup i send her liao so i m picking her up at ard 4 smth lor  ,u mean u almost done done wif sleep tot u go take nap yup send liao pick ard 4 smth lor
2834,ham,tonight  yeah  i d be down for that,tonight yeah
2835,ham,what should i eat fo lunch senor,eat fo lunch senor
2836,ham,he said that he had a right giggle when he saw u again  you would possibly be the first person2die from nvq  but think how much you could for  ,said right giggl saw u would possibl first person2di nvq think much could
2837,ham,no break time one    how    i come out n get my stuff fr    ,break time one come n get stuff fr
2838,spam,reply to win   100 weekly  what professional sport does tiger woods play  send stop to 87239 to end service,repli win 100 weekli profession sport tiger wood play send stop 87239 end servic
2839,ham,i m there and i can see you  but you can t see me   maybe you should reboot ym   i seen the buzz,see see mayb reboot ym seen buzz
2840,ham,do you still have the grinder ,still grinder
2841,spam,no 1 polyphonic tone 4 ur mob every week  just txt pt2 to 87575  1st tone free   so get txtin now and tell ur friends  150p tone  16 reply hl 4info,1 polyphon tone 4 ur mob everi week txt pt2 87575 1st tone free get txtin tell ur friend 150p tone 16 repli hl 4info
2842,ham,k i did t see you   k  where are you now ,k see k
2843,ham,so i m doing a list of buyers ,list buyer
2844,ham,no idea  i guess we ll work that out an hour after we re supposed to leave since as usual nobody has any interest in figuring shit out before the last second,idea guess work hour suppos leav sinc usual nobodi interest figur shit last second
2845,ham,mm not entirely sure i understood that text but hey  ho  which weekend ,mm entir sure understood text hey ho weekend
2846,ham,they released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear ,releas vday shirt u put make bottom half nake instead white underwear
2847,ham,don know  he is watching film in computer  ,know watch film comput
2848,ham,no b4 thursday,b4 thursday
2849,ham,oh  then your phone phoned me but it disconnected,oh phone phone disconnect
2850,ham,id onluy matters when getting on from offcampus,id onluy matter get offcampu
2851,spam,this message is free  welcome to the new   improved sex   dogging club  to unsubscribe from this service reply stop  msgs 150p 18 only,messag free welcom new improv sex dog club unsubscrib servic repli stop msg 150p 18
2852,ham,excellent  i ll see what riley s plans are,excel see riley plan
2853,ham,ew are you one of them ,ew one
2854,ham,also hi wesley how ve you been,also hi wesley
2855,ham,ah you see  you have to be in the lingo  i will let you know wot on earth it is when has finished making it ,ah see lingo let know wot earth finish make
2856,spam,update now   12mths half price orange line rental  400mins   call mobileupd8 on 08000839402 or call2optout j5q,updat 12mth half price orang line rental 400min call mobileupd8 08000839402 call2optout j5q
2857,ham,imagine life without me    see   how fast u are searching me don t worry   l m always there to disturb u   goodnoon    ,imagin life without see fast u search worri l alway disturb u goodnoon
2858,ham,hm good morning  headache anyone     ,hm good morn headach anyon
2859,ham,yeah no probs   last night is obviously catching up with you    speak soon ,yeah prob last night obvious catch speak soon
2860,spam,free unlimited hardcore porn direct 2 your mobile txt porn to 69200   get free access for 24 hrs then chrgd 50p per day txt stop 2exit  this msg is free,free unlimit hardcor porn direct 2 mobil txt porn 69200 get free access 24 hr chrgd 50p per day txt stop 2exit msg free
2861,ham,i might go 2 sch  yar at e salon now v boring ,might go 2 sch yar e salon v bore
2862,ham,  lt   gt   mins but i had to stop somewhere first ,lt gt min stop somewher first
2863,ham, lt   gt   is fast approaching  so  wish u a very happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day  happy friendship mother father teachers childrens day   amp  happy birthday 4 u  happy ganesh festival happy dasara happy diwali happy christmas   lt   gt   good mornings afternoons  evenings nights  rememberi am the first to wishing u all these   your s raj,lt gt fast approach wish u happi new year happi sankranti happi republ day happi valentin day happi shivratri happi ugadi happi fool day happi may day happi independ day happi friendship mother father teacher children day amp happi birthday 4 u happi ganesh festiv happi dasara happi diwali happi christma lt gt good morn afternoon even night rememberi first wish u raj
2864,ham,one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting    ,one joy lifei wake daywith thought somewheresomeon care enough tosend warm morn greet
2865,ham,i didn t get the second half of that message,get second half messag
2866,ham,wat time do u wan 2 meet me later ,wat time u wan 2 meet later
2867,ham,i thank you so much for all you do with selflessness  i love you plenty ,thank much selfless love plenti
2868,ham,am in film ill call you later ,film ill call later
2869,ham,how dare you change my ring,dare chang ring
2870,ham,you are a very very very very bad girl  or lady ,bad girl ladi
2871,ham,i love ya too but try and budget your money better babe  gary would freak on me if he knew,love ya tri budget money better babe gari would freak knew
2872,ham,what part of  don t initiate   don t you understand ,part initi understand
2873,ham,i finished my lunch already  u wake up already ,finish lunch alreadi u wake alreadi
2874,ham,you still at the game ,still game
2875,ham,you have got tallent but you are wasting ,got tallent wast
2876,ham,what is your record for one night    ,record one night
2877,ham,also sir  i sent you an email about how to log into the usc payment portal  i ll send you another message that should explain how things are back home  have a great weekend ,also sir sent email log usc payment portal send anoth messag explain thing back home great weekend
2878,ham, gonna let me know cos comes bak from holiday that day   is coming  don t4get2text me  number  ,gon na let know co come bak holiday day come t4get2text number
2879,ham,jokin only lar        depends on which phone my father can get lor   ,jokin lar depend phone father get lor
2880,ham,aight  lemme know what s up,aight lem know
2881,ham,get ready for   lt   gt   inches of pleasure   ,get readi lt gt inch pleasur
2882,ham,    ok  i feel like john lennon ,ok feel like john lennon
2883,ham,cos darren say    considering mah so i ask      ,co darren say consid mah ask
2884,ham,you are not bothering me but you have to trust my answers  pls ,bother trust answer pl
2885,ham,one day a crab was running on the sea shore  the waves came n cleared the footprints of the crab   crab asked  being my frnd y r u clearing my beautiful footprints  waves replied  a fox was following ur footprints to catch you  thats y i cleared it off   frndsship never lets u dwn     gud nyt  ,one day crab run sea shore wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch that clear frndsship never let u dwn gud nyt
2886,ham,aight what time you want me to come up ,aight time want come
2887,ham,slaaaaave   where are you   must i summon you to me all the time now   don t you wish to come to me on your own anymore ,slaaaaav must summon time wish come anymor
2888,ham,your bill at 3 is   33 65 so thats not bad ,bill 3 33 65 that bad
2889,ham,let me know how it changes in the next 6hrs  it can even be appendix but you are out of that age range  however its not impossible  so just chill and let me know in 6hrs,let know chang next 6hr even appendix age rang howev imposs chill let know 6hr
2890,ham,hello  yeah i ve just got out of the bath and need to do my hair so i ll come up when i m done  yeah ,hello yeah got bath need hair come done yeah
2891,ham,so how s the weather over there ,weather
2892,ham,ok  not much to do here though  h m friday  cant wait  dunno wot the hell im gonna do for another 3 weeks  become a slob  oh wait  already done that  ,ok much though h friday cant wait dunno wot hell im gon na anoth 3 week becom slob oh wait alreadi done
2893,ham,die    now i have e toot fringe again   ,die e toot fring
2894,ham,lol they don t know about my awesome phone  i could click delete right now if i want ,lol know awesom phone could click delet right want
2895,ham,awesome question with a cute answer  someone asked a boy  how is ur life        he smiled  amp  answered        she is fine    gudnite ,awesom question cute answer someon ask boy ur life smile amp answer fine gudnit
2896,ham,please leave this topic  sorry for telling that  ,pleas leav topic sorri tell
2897,ham,pls send me the correct name da ,pl send correct name da
2898,ham,what happened to our yo date ,happen yo date
2899,ham,webpage s not available ,webpag avail
2900,ham,just woke up  yeesh its late  but i didn t fall asleep til  lt   gt  am   ,woke yeesh late fall asleep til lt gt
2901,spam,you are now unsubscribed all services  get tons of sexy babes or hunks straight to your phone  go to http   gotbabes co uk  no subscriptions ,unsubscrib servic get ton sexi babe hunk straight phone go http gotbab co uk subscript
2902,ham,dear all  as we know   lt   gt  th is the   lt   gt  th birthday of our loving gopalettan  we are planning to give a small gift on that day  those who like to participate in that you are welcome  please contact our admin team for more details,dear know lt gt th lt gt th birthday love gopalettan plan give small gift day like particip welcom pleas contact admin team detail
2903,ham,k  k   from tomorrow onwards started ah ,k k tomorrow onward start ah
2904,ham,what u talking bout early morning  it s almost noon where your at ,u talk bout earli morn almost noon
2905,ham,fine  do you remember me ,fine rememb
2906,spam,hi babe its jordan  how r u  im home from abroad and lonely  text me back if u wanna chat xxsp visionsms com text stop to stopcost 150p 08712400603,hi babe jordan r u im home abroad lone text back u wan na chat xxsp visionsm com text stop stopcost 150p 08712400603
2907,ham,ok  how many should i buy ,ok mani buy
2908,ham,sounds good  keep me posted,sound good keep post
2909,spam,get a brand new mobile phone by being an agent of the mob  plus loads more goodies  for more info just text mat to 87021 ,get brand new mobil phone agent mob plu load goodi info text mat 87021
2910,ham,ok  so april  cant wait,ok april cant wait
2911,ham,boy you best get yo ass out here quick,boy best get yo ass quick
2912,ham,ay wana meet on sat    wkg on sat ,ay wana meet sat wkg sat
2913,ham,i m now but have to wait till 2 for the bus to pick me ,wait till 2 bu pick
2914,ham,apart from the one i told you about yesterday ,apart one told yesterday
2915,ham,ok lor    but buy wat ,ok lor buy wat
2916,ham,somebody should go to andros and steal ice,somebodi go andro steal ice
2917,ham,don know  i did t msg him recently ,know msg recent
2918,ham,take us out shopping and mark will distract isaiah  d,take us shop mark distract isaiah
2919,ham,mum  hope you are having a great day  hoping this text meets you well and full of life  have a great day  abiola,mum hope great day hope text meet well full life great day abiola
2920,ham,there is no sense in my foot and penis ,sens foot peni
2921,ham,okay but i thought you were the expert,okay thought expert
2922,ham, deep sigh      i miss you         i am really surprised you haven t gone to the net cafe yet to get to me     don t you miss me ,deep sigh miss realli surpris gone net cafe yet get miss
2923,ham,s s  i thinl role is like sachin just standing  others have to hit ,thinl role like sachin stand other hit
2924,ham,have a great trip to india  and bring the light to everyone not just with the project but with everyone that is lucky to see you smile  bye  abiola,great trip india bring light everyon project everyon lucki see smile bye abiola
2925,ham,and very importantly  all we discuss is between u and i only ,importantli discuss u
2926,ham,k  k  how about your training process ,k k train process
2927,ham,ok lor  i ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat ,ok lor ned 2 go toa payoh 4 2 return smth u wan 2 send wat
2928,ham,in da car park ,da car park
2929,ham,i wish that i was with you  holding you tightly  making you see how important you are  how much you mean to me     how much i need you     in my life    ,wish hold tightli make see import much mean much need life
2930,ham,so i asked how s anthony  dad  and your bf,ask anthoni dad bf
2931,ham, wnevr i wana fal in luv vth my books  my bed fals in luv vth me        yen madodu  nav pretsorginta  nammanna pretsovru important alwa         gud eveb   ,wnevr wana fal luv vth book bed fal luv vth yen madodu nav pretsorginta nammanna pretsovru import alwa gud eveb
2932,ham,am going to take bath ill place the key in window   ,go take bath ill place key window
2933,spam,lord of the rings return of the king in store now reply lotr by 2 june 4 chance 2 win lotr soundtrack cds stdtxtrate  reply stop to end txts,lord ring return king store repli lotr 2 june 4 chanc 2 win lotr soundtrack cd stdtxtrate repli stop end txt
2934,ham,dear  take care  i am just reaching home love u a lot ,dear take care reach home love u lot
2935,ham,staff science nus edu sg  phyhcmk teaching pc1323,staff scienc nu edu sg phyhcmk teach pc1323
2936,ham,have you emigrated or something  ok maybe 5 30 was a bit hopeful   ,emigr someth ok mayb 5 30 bit hope
2937,ham,olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement  hopefully they dont ignore that ,olol print forum post guy exact prob fix gpu replac hope dont ignor
2938,ham,we walked from my moms  right on stagwood pass right on winterstone left on victors hill  address is  lt   gt ,walk mom right stagwood pass right winterston left victor hill address lt gt
2939,ham,yo  you at jp and hungry like a mofo ,yo jp hungri like mofo
2940,ham,this is all just creepy and crazy to me ,creepi crazi
2941,ham,ok    i din get ur msg   ,ok din get ur msg
2942,ham,pathaya enketa maraikara pa ,pathaya enketa maraikara pa
2943,ham,even if he my friend he is a priest call him now,even friend priest call
2944,ham,u so lousy  run already come back then half dead    hee   ,u lousi run alreadi come back half dead hee
2945,ham,that s y i said it s bad dat all e gals know u    wat u doing now ,said bad dat e gal know u wat u
2946,ham,or remind me in a few hrs ,remind hr
2947,ham,i had been hoping i would not have to send you this message  my rent is due and i dont have enough for it  my reserves are completely gone  its a loan i need and was hoping you could her  the balance is   lt   gt    is there a way i could get that from you  till mid march when i hope to pay back ,hope would send messag rent due dont enough reserv complet gone loan need hope could balanc lt gt way could get till mid march hope pay back
2948,ham,hi  happy new year  i dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is  thanks,hi happi new year dont mean intrud pl let know much tuition paid last semest much semest thank
2949,ham,hello hun how ru  its here by the way  im good  been on 2 dates with that guy i met in walkabout so far  we have to meet up soon  hows everyone else ,hello hun ru way im good 2 date guy met walkabout far meet soon how everyon els
2950,ham,lol i was gonna last month  i cashed some in but i left  lt   gt  just in case  i was collecting more during the week cause they announced it on the blog ,lol gon na last month cash left lt gt case collect week caus announc blog
2951,spam,good luck  draw takes place 28th feb 06  good luck  for removal send stop to 87239 customer services 08708034412,good luck draw take place 28th feb 06 good luck remov send stop 87239 custom servic 08708034412
2952,ham,short but cute     be a good person ,short cute good person
2953,ham,just haven t decided where yet eh  ,decid yet eh
2954,ham,wat time liao  where still got ,wat time liao still got
2955,ham,yes watching footie but worried we re going to blow it   phil neville ,ye watch footi worri go blow phil nevil
2956,ham,i wait 4    inside da car park   ,wait 4 insid da car park
2957,ham,uncle abbey  happy new year  abiola,uncl abbey happi new year abiola
2958,ham,now am free call me pa ,free call pa
2959,ham,r u saying i should re order the slippers cos i had to pay for returning it ,r u say order slipper co pay return
2960,ham,stop knowing me so well ,stop know well
2961,ham,good evening  this is roger  how are you ,good even roger
2962,ham,small problem in auction  punj now asking tiwary,small problem auction punj ask tiwari
2963,ham,he telling not to tell any one  if so treat for me hi hi hi,tell tell one treat hi hi hi
2964,spam,1st wk free  gr8 tones str8 2 u each wk  txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys  nokia 150p poly 200p 16 ,1st wk free gr8 tone str8 2 u wk txt nokia 8007 classic nokia tone hit 8007 poli nokia 150p poli 200p 16
2965,ham,u coming 2 pick me ,u come 2 pick
2966,ham,thats cool  i liked your photos  you are very sexy ,that cool like photo sexi
2967,ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me again  that needs to b sacked,would u fuckin believ didnt know thur pre book cancel need b sack
2968,ham,haha better late than ever  any way i could swing by ,haha better late ever way could swing
2969,ham,ok  but i finish at 6 ,ok finish 6
2970,spam,lookatme   thanks for your purchase of a video clip from lookatme   you ve been charged 35p  think you can do better  why not send a video in a mmsto 32323 ,lookatm thank purchas video clip lookatm charg 35p think better send video mmsto 32323
2971,ham,i ve been barred from all b and q stores for life  this twat in orange dungerees came up to me and asked if i wanted decking  so i got the first punch in  ,bar b q store life twat orang dungere came ask want deck got first punch
2972,ham,so no messages  had food ,messag food
2973,ham,ok going to sleep  hope i can meet her ,ok go sleep hope meet
2974,ham,can you let me know details of fri when u find out cos i m not in tom or fri  mentionned chinese  thanks,let know detail fri u find co tom fri mention chines thank
2975,ham,you re right i have now that i think about it,right think
2976,ham,wat r u doing now ,wat r u
2977,ham,is ur lecture over ,ur lectur
2978,spam,sexy sexy cum and text me im wet and warm and ready for some porn  u up for some fun  this msg is free recd msgs 150p inc vat 2 cancel text stop,sexi sexi cum text im wet warm readi porn u fun msg free recd msg 150p inc vat 2 cancel text stop
2979,ham,customer place i will call you,custom place call
2980,ham,not planned yet   going to join company on jan 5 only don know what will happen after that ,plan yet go join compani jan 5 know happen
2981,ham,boy  i love u grl  hogolo boy  gold chain kodstini grl  agalla boy  necklace madstini grl  agalla boy  hogli 1 mutai eerulli kodthini  grl  i love u kano   ,boy love u grl hogolo boy gold chain kodstini grl agalla boy necklac madstini grl agalla boy hogli 1 mutai eerulli kodthini grl love u kano
2982,ham,haha i heard that  text me when you re around,haha heard text around
2983,ham,i ll get there tomorrow and send it to you,get tomorrow send
2984,ham, shit babe   thasa bit messed up yeh,shit babe thasa bit mess yeh
2985,ham,oh thats late  well have a good night and i will give u a call tomorrow  iam now going to go to sleep night night,oh that late well good night give u call tomorrow iam go go sleep night night
2986,ham, cheers u tex mecause u werebored  yeah okden hunny r uin wk sat sound  s likeyour havin gr8fun j  keep updat countinlots of loveme xxxxx    ,cheer u tex mecaus u werebor yeah okden hunni r uin wk sat sound likeyour havin gr8fun j keep updat countinlot lovem xxxxx
2987,ham,sorry   in meeting i ll call you later,sorri meet call later
2988,ham,yo  howz u  girls never rang after india  l,yo howz u girl never rang india l
2989,ham,yeah but which is worse for i,yeah wors
2990,ham,i tagged my friends that you seemed to count as your friends ,tag friend seem count friend
2991,ham,long time  you remember me today ,long time rememb today
2992,ham,havent shopping now lor i juz arrive only,havent shop lor juz arriv
2993,ham,thank u  it better work out cause i will feel used otherwise,thank u better work caus feel use otherwis
2994,ham,are you up for the challenge  i know i am   ,challeng know
2995,ham,how much did ur hdd casing cost ,much ur hdd case cost
2996,ham,mystery solved  just opened my email and he s sent me another batch  isn t he a sweetie,mysteri solv open email sent anoth batch sweeti
2997,ham,i can t describe how lucky you are that i m actually awake by noon,describ lucki actual awak noon
2998,spam,this is the 2nd time we have tried to contact u  u have won the   1450 prize to claim just call 09053750005 b4 310303  t cs stop sms 08718725756  140ppm,2nd time tri contact u u 1450 prize claim call 09053750005 b4 310303 cs stop sm 08718725756 140ppm
2999,ham,cheers for the card     is it that time of year already ,cheer card time year alreadi
3000,ham,ugh hopefully the asus ppl dont randomly do a reformat ,ugh hope asu ppl dont randomli reformat
3001,ham,haven t seen my facebook  huh  lol ,seen facebook huh lol
3002,ham,mah b  i ll pick it up tomorrow,mah b pick tomorrow
3003,ham,still otside le  u come 2morrow maga  ,still otsid le u come 2morrow maga
3004,ham,do u still have plumbers tape and a wrench we could borrow ,u still plumber tape wrench could borrow
3005,spam,dear voucher holder  to claim this weeks offer  at you pc please go to http   www e tlp co uk reward  ts cs apply ,dear voucher holder claim week offer pc pleas go http www e tlp co uk reward ts cs appli
3006,ham,it vl bcum more difficult  ,vl bcum difficult
3007,ham,havent still waitin as usual       come back sch oredi ,havent still waitin usual come back sch oredi
3008,ham,in meeting da  i will call you,meet da call
3009,ham,k k        then watch some films ,k k watch film
3010,ham,does cinema plus drink appeal tomo    is a fr thriller by director i like on at mac at 8 30 ,cinema plu drink appeal tomo fr thriller director like mac 8 30
3011,ham,there the size of elephant tablets   u shove um up ur ass  ,size eleph tablet u shove um ur ass
3012,ham,so many people seems to be special at first sight  but only very few will remain special to you till your last sight   maintain them till life ends   take cr da,mani peopl seem special first sight remain special till last sight maintain till life end take cr da
3013,ham,my parents  my kidz  my friends n my colleagues  all screaming   surprise    and i was waiting on the sofa               naked    ,parent kidz friend n colleagu scream surpris wait sofa nake
3014,ham,dunno i juz askin cos i got a card got 20  off 4 a salon called hair sense so i tot it s da one    cut ur hair  ,dunno juz askin co got card got 20 4 salon call hair sens tot da one cut ur hair
3015,ham,good morning pookie pie  lol hope i didn t wake u up,good morn pooki pie lol hope wake u
3016,ham,maybe if you woke up before fucking 3 this wouldn t be a problem ,mayb woke fuck 3 problem
3017,ham,happy birthday to you    dear with lots of love rakhesh nri,happi birthday dear lot love rakhesh nri
3018,spam,this is the 2nd time we have tried 2 contact u  u have won the 750 pound prize  2 claim is easy  call 08712101358 now  only 10p per min  bt national rate,2nd time tri 2 contact u u 750 pound prize 2 claim easi call 08712101358 10p per min bt nation rate
3019,ham,x2   lt   gt    are you going to get that,x2 lt gt go get
3020,ham,hi neva worry bout da truth coz the truth will lead me 2 ur heart  it  s the least a unique person like u deserve  sleep tight or morning,hi neva worri bout da truth coz truth lead 2 ur heart least uniqu person like u deserv sleep tight morn
3021,spam,ur awarded a city break and could win a   200 summer shopping spree every wk  txt store to 88039 skilgme tscs087147403231winawk age16   1 50perwksub,ur award citi break could win 200 summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16 1 50perwksub
3022,ham,is ur paper today in e morn or aft ,ur paper today e morn aft
3023,ham,i will lick up every drop    are you ready to use your mouth as well ,lick everi drop readi use mouth well
3024,ham,and you  will expect you whenever you text  hope all goes well tomo ,expect whenev text hope goe well tomo
3025,ham,great  p diddy is my neighbor and comes for toothpaste every morning,great p diddi neighbor come toothpast everi morn
3026,ham,i av a new number     wil u only use this one ta ,av new number wil u use one ta
3027,ham,so its to be poking man everyday that they teach you in canada abi  how are you  just saying hi ,poke man everyday teach canada abi say hi
3028,ham,7 lor    change 2 suntec    wat time u coming ,7 lor chang 2 suntec wat time u come
3029,ham,no de am seeing in online shop so that i asked ,de see onlin shop ask
3030,ham,just curious because my cuz asked what i was up to,curiou cuz ask
3031,ham,okay lor    wah    like that def they wont let us go    haha    what did they say in the terms and conditions ,okay lor wah like def wont let us go haha say term condit
3032,ham,haha    yup hopefully  we will lose a few kg by mon  after hip hop can go orchard and weigh again,haha yup hope lose kg mon hip hop go orchard weigh
3033,ham,she s good  how are you  where r u working now,good r u work
3034,ham,oh  yes  i ve just been a little under the weather so i ve kind of been coccooning at home,oh ye littl weather kind coccoon home
3035,ham,at home also ,home also
3036,ham,this phone has the weirdest auto correct ,phone weirdest auto correct
3037,ham,oops my phone died and i didn t even know  yeah i like it better ,oop phone die even know yeah like better
3038,ham,havent mus ask if u can 1st wat  of meet 4 lunch den u n him meet can already lor  or u wan 2 go ask da ge 1st then confirm w me asap ,havent mu ask u 1st wat meet 4 lunch den u n meet alreadi lor u wan 2 go ask da ge 1st confirm w asap
3039,ham,she said    do u mind if i go into the bedroom for a minute        ok    i sed in a sexy mood  she came out 5 minuts latr wid a cake   n my wife ,said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife
3040,ham,oh yeah and hav a great time in newquay send me a postcard  1 look after all the girls while im gone u know the 1im talkin bout  xx,oh yeah hav great time newquay send postcard 1 look girl im gone u know 1im talkin bout xx
3041,ham,we got a divorce  lol  she s here,got divorc lol
3042,ham,what s ur pin ,ur pin
3043,ham,babe  have you got enough money to pick up bread and milk   and i ll give you it back when you get home  ,babe got enough money pick bread milk give back get home
3044,ham,i want snow  it s just freezing and windy ,want snow freez windi
3045,spam,urgent  we are trying to contact u  todays draw shows that you have won a   2000 prize guaranteed  call 09066358361 from land line  claim y87  valid 12hrs only,urgent tri contact u today draw show 2000 prize guarante call 09066358361 land line claim y87 valid 12hr
3046,ham,come to mahal bus stop    lt decimal gt ,come mahal bu stop lt decim gt
3047,ham,don know  this week i m going to tirunelvai da ,know week go tirunelvai da
3048,ham,me too baby  i promise to treat you well  i bet you will take good care of me   ,babi promis treat well bet take good care
3049,ham,its like that hotel dusk game i think  you solve puzzles in a area thing,like hotel dusk game think solv puzzl area thing
3050,spam,thanks for your ringtone order  reference number x29  your mobile will be charged 4 50  should your tone not arrive please call customer services 09065989180,thank rington order refer number x29 mobil charg 4 50 tone arriv pleas call custom servic 09065989180
3051,ham,hi  my love  how goes that day  fuck  this morning i woke and dropped my cell on the way down the stairs but it seems alright      phews  i miss you  ,hi love goe day fuck morn woke drop cell way stair seem alright phew miss
3052,ham,well that must be a pain to catch,well must pain catch
3053,ham,sorry da thangam it s my mistake ,sorri da thangam mistak
3054,ham,i need    coz i never go before ,need coz never go
3055,ham,rose for red red for blood blood for heart heart for u  but u for me     send tis to all ur friends   including me   if u like me   if u get back  1 u r poor in relation  2 u need some 1 to support 3 u r frnd 2 many 4 some1 luvs u 5   some1 is praying god to marry u     try it    ,rose red red blood blood heart heart u u send ti ur friend includ u like u get back 1 u r poor relat 2 u need 1 support 3 u r frnd 2 mani 4 some1 luv u 5 some1 pray god marri u tri
3056,spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send collect to 83600 only 150p msg  cc  08718720201 po box 114 14 tcr w1,ur cash balanc current 500 pound maxim ur cash send collect 83600 150p msg cc 08718720201 po box 114 14 tcr w1
3057,ham,i feel like a dick because i keep sleeping through your texts and facebook messages  sup  you in town ,feel like dick keep sleep text facebook messag sup town
3058,ham,no plm i will come da  on the way ,plm come da way
3059,ham,guess he wants alone time  we could just show up and watch when they do  ,guess want alon time could show watch
3060,ham,height of recycling  read twice  people spend time for earning money and the same money is spent for spending time     good morning   keep smiling   ,height recycl read twice peopl spend time earn money money spent spend time good morn keep smile
3061,ham,yup    not comin    ,yup comin
3062,ham,yes  princess  toledo ,ye princess toledo
3063,ham,aight text me when you re back at mu and i ll swing by  need somebody to get the door for me,aight text back mu swing need somebodi get door
3064,ham,ron say fri leh  n he said ding tai feng cant make reservations  but he said wait lor ,ron say fri leh n said ding tai feng cant make reserv said wait lor
3065,ham,good  no swimsuit allowed   ,good swimsuit allow
3066,ham,am okay  will soon be over  all the best,okay soon best
3067,ham,a cute thought for friendship   its not necessary to share every secret with ur close frnd,cute thought friendship necessari share everi secret ur close frnd
3068,ham,ok i ve sent u da latest version of da project ,ok sent u da latest version da project
3069,ham,pls accept me for one day  or am begging you change the number ,pl accept one day beg chang number
3070,ham,squeeeeeze   this is christmas hug   if u lik my frndshp den hug me back   if u get 3 u r cute   6 u r luvd   9 u r so lucky   none  people hate u ,squeeeeez christma hug u lik frndshp den hug back u get 3 u r cute 6 u r luvd 9 u r lucki none peopl hate u
3071,ham,its ok  if anybody asks abt me  u tel them    p,ok anybodi ask abt u tel p
3072,ham,funny fact nobody teaches volcanoes 2 erupt  tsunamis 2 arise  hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife natural disasters just happens,funni fact nobodi teach volcano 2 erupt tsunami 2 aris hurrican 2 sway aroundn 1 teach hw 2 choos wife natur disast happen
3073,ham,  you gonna ring this weekend or wot ,gon na ring weekend wot
3074,ham,also track down any lighters you can find,also track lighter find
3075,ham,babe  i need your advice,babe need advic
3076,ham,i   ll leave around four  ok ,leav around four ok
3077,ham,come to medical college at 7pm       forward it da,come medic colleg 7pm forward da
3078,ham,k  k  its good  when are you going ,k k good go
3079,ham,i can make lasagna for you    vodka   ,make lasagna vodka
3080,ham,hi its kate can u give me a ring asap xxx,hi kate u give ring asap xxx
3081,ham,who were those people   were you in a tour   i thought you were doing that sofa thing you sent me   your curious sugar,peopl tour thought sofa thing sent curiou sugar
3082,ham,no  but you told me you were going  before you got drunk ,told go got drunk
3083,ham,he fucking chickened out  he messaged me he would be late and woould buzz me and then i didn t hear a word from him,fuck chicken messag would late woould buzz hear word
3084,spam,congratulations  thanks to a good friend u have won the   2 000 xmas prize  2 claim is easy  just call 08718726978 now  only 10p per minute  bt national rate,congratul thank good friend u 2 000 xma prize 2 claim easi call 08718726978 10p per minut bt nation rate
3085,ham,i m always looking for an excuse to be in the city ,alway look excus citi
3086,ham,yup i m still having coffee wif my frens    my fren drove she ll give me a lift   ,yup still coffe wif fren fren drove give lift
3087,ham,o shore are you takin the bus,shore takin bu
3088,ham,so u gonna get deus ex ,u gon na get deu ex
3089,ham,i will send them to your email  do you mind   lt   gt   times per night ,send email mind lt gt time per night
3090,spam,44 7732584351  do you want a new nokia 3510i colour phone deliveredtomorrow  with 300 free minutes to any mobile   100 free texts   free camcorder reply or call 08000930705 ,44 7732584351 want new nokia 3510i colour phone deliveredtomorrow 300 free minut mobil 100 free text free camcord repli call 08000930705
3091,ham,tap   spile at seven    is that pub on gas st off broad st by canal  ok ,tap spile seven pub ga st broad st canal ok
3092,ham,ok then i come n pick u at engin ,ok come n pick u engin
3093,ham,which is why i never wanted to tell you any of this  which is why i m so short with you and on edge as of late ,never want tell short edg late
3094,ham,raviyog peripherals bhayandar east,raviyog peripher bhayandar east
3095,ham,k actually can you guys meet me at the sunoco on howard  it should be right on the way,k actual guy meet sunoco howard right way
